Province No,District,Municipality,WardNo
Koshi Province,Taplejung,Aathrai Triveni municipality,"1,2,3, 4,5"
Koshi Province,Taplejung,Phaktanglung municipality,"1,2,3,4, 5 , 6,7 "
Koshi Province,Taplejung,Phungling municipality,"1,2,3, 4,5 , 6,7 ,8,9,10,11"
Koshi Province,Taplejung,Mikwa Khola municipality,"1,2,3, 4,5"
Koshi Province,Taplejung,Meringden municipality,"1,2,3, 4,5,6"
Koshi Province,Taplejung,Maiwa Khola municipality,"1,2,3, 4,5 , 6"
Koshi Province,Taplejung,Yangwarak municipality,"1,2,3, 4,5 , 6"
Koshi Province,Taplejung,Sidingwa municipality,"1,2,3, 4,5 , 6,7"
Koshi Province,Taplejung,Sirijangha municipality,"1,2,3, 4,5 , 6,7,8"
Koshi Province,Panchthar,Kummayak municipality,"1,2,3, 4,5 "
Koshi Province,Panchthar,Tumbwa municipality,"1,2,3, 4,5 "
Koshi Province,Panchthar,Phalelung municipality,"1,2,3, 4,5 , 6,7,8"
Koshi Province,Panchthar,Phalgunanda municipality,"1,2,3, 4,5 , 6,7"
Koshi Province,Panchthar,Phidim municipality,"1,2,3, 4,5 , 6,7 ,8,9,10,11,12,13,14"
Koshi Province,Panchthar,Miklajung municipality,"1,2,3, 4,5 , 6,7"
Koshi Province,Panchthar,Yangwarak municipality,"1,2,3, 4,5 , 6"
Koshi Province,Panchthar,Hilihang municipality,"1,2,3, 4,5 , 6,7"
Koshi Province,Ilam,Ilam municipality,"1,2,3, 4,5 , 6,7 ,8,9,10,11,12"
Koshi Province,Ilam,Chulachuli municipality,"1,2,3, 4,5 , 6"
Koshi Province,Ilam,Deumai municipality,"1,2,3,4, 5 , 6,7 ,8,9"
Koshi Province,Ilam,Phakphokthum municipality,"1,2,3, 4,5 , 6,7"
Koshi Province,Ilam,Mai municipality,"1,2,3,4, 5 , 6,7 ,8,9,10"
Koshi Province,Ilam,Maijogmai municipality,"1,2,3,4, 5 , 6,7 "
Koshi Province,Ilam,Mangsebung municipality,"1,2,3,4, 5 , 6"
Koshi Province,Ilam,Rong municipality,"1,2,3,4, 5 , 6"
Koshi Province,Ilam,Sandakpur municipality,"1,2,3,4, 5 "
Koshi Province,Ilam,Suryodaya municipality,"1,2,3, 4,5 , 6,7 ,8,9,10,11,12,13,14"
Koshi Province,Jhapa,Arjundhara municipality,"1,2,3, 4,5 , 6,7 ,8,9,10,11"
Koshi Province,Jhapa,Kachankabal municipality,"1,2,3,4, 5 , 6,7 "
Koshi Province,Jhapa,Kankai municipality,"1,2,3,4, 5 , 6,7 ,8,9"
Koshi Province,Jhapa,Kamal municipality,"1,2,3, 4,5 , 6,7 ,8,9,10"
Koshi Province,Jhapa,Gauradaha municipality,"1,2,3,4, 5 , 6,7 ,8,9"
Koshi Province,Jhapa,Gauriganj municipality,"1,2,3,4, 5 , 6"
Koshi Province,Jhapa,Jhapa municipality,"1,2,3,4, 5 , 6,7 "
Koshi Province,Jhapa,Damak municipality,"1,2,3, 4,5 , 6,7 ,8,9,10"
Koshi Province,Jhapa,Bahradasi municipality,"1,2,3,4, 5 , 6,7 "
Koshi Province,Jhapa,Buddhashanti municipality,"1,2,3,4, 5 , 6,7 "
Koshi Province,Jhapa,Bhadrapur municipality,"1,2,3, 4,5 , 6,7 ,8,9,10"
Koshi Province,Jhapa,Mechinagar municipality,"1,2,3, 4,5 , 6,7 ,8,9,10,11,12,13,14,15"
Koshi Province,Jhapa,Birtamod municipality,"1,2,3, 4,5 , 6,7 ,8,9,10"
Koshi Province,Jhapa,Shivasatakshi municipality,"1,2,3, 4,5 , 6,7 ,8,9,10,11"
Koshi Province,Jhapa,Haldibari municipality,"1,2,3, 4,5 , 6,7 ,8,9,10,11,12"
Koshi Province,Morang,Urlabari municipality,"1,2,3, 4,5 , 6,7 ,8,9"
Koshi Province,Morang,Katahari municipality,"1,2,3, 4,5 , 6,7 ,8"
Koshi Province,Morang,Kanepokhari municipality,"1,2,3, 4,5 , 6,7 ,8"
Koshi Province,Morang,Kerabari municipality,"1,2,3, 4,5 , 6,7 ,8,9,10"
Koshi Province,Morang,Gramthan municipality,"1,2,3, 4,5 , 6,7"
Koshi Province,Morang,Jahada municipality,"1,2,3, 4,5 , 6,7"
Koshi Province,Morang,Dhapalthan municipality,"1,2,3, 4,5 , 6,7"
Koshi Province,Morang,Pathari Sanischare municipality,"1,2,3, 4,5 , 6,7 ,8,9,10"
Koshi Province,Morang,Budhiganga municipality,"1,2,3, 4,5 , 6,7 ,8,9,10"
Koshi Province,Morang,Belbari municipality,"1,2,3,4,5,6,7,8,9,10,11"
Koshi Province,Morang,Miklajung municipality,"1,2,3, 4,5 , 6,7"
Koshi Province,Morang,Rangeli municipality,"1,2,3, 4,5 , 6,7 ,8,9,10"
Koshi Province,Morang,Ratuwamai municipality,"1,2,3, 4,5 , 6,7 ,8,9,10"
Koshi Province,Morang,Letang municipality,"1,2,3, 4,5 , 6,7 ,8,9"
Koshi Province,Morang,Biratnagar MP municipality,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
Koshi Province,Morang,Sunbarshi municipality,"1,2,3, 4,5 , 6,7 ,8,9"
Koshi Province,Morang,Sundarharicha municipality,"1,2,3, 4,5 , 6,7 ,8,9,10,11,12"
Koshi Province,Sunsari,Itahari Sub-MP municipality,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Koshi Province,Sunsari,Inaruwa municipality,"1,2,3, 4,5 , 6,7 ,8,9,10"
Koshi Province,Sunsari,Koshi municipality,"1,2,3, 4,5 , 6,7 ,8"
Koshi Province,Sunsari,Gadhi municipality,"1,2,3, 4,5 , 6"
Koshi Province,Sunsari,Duhabi municipality,"1,2,3, 4,5 , 6,7 ,8,9,10,11,12"
Koshi Province,Sunsari,Dewanganj municipality,"1,2,3, 4,5 , 6,7"
Koshi Province,Sunsari,Dharan Sub-MP municipality,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Koshi Province,Sunsari,Baraha municipality,"1,2,3, 4,5 , 6,7 ,8,9,10,11"
Koshi Province,Sunsari,Barju municipality,"1,2,3, 4,5 , 6"
